,Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
3084,H15061,2013,1.0,0,Painted,Not Fenced,Has garden,urban area,4000,2,1988,   ,42218,1.0
5974,H15062,2014,1.0,0,Not Painted,Fenced,no garden,rural area,3950,1,1994,4,86194,0.0
4822,H15064,2014,1.0,0,Painted,Not Fenced,Has garden,urban area,1441,1,1988,   ,74225,1.0
5672,H15066,2016,0.99726776,0,Painted,Not Fenced,Has garden,urban area,1784,2,1988,   ,83061,0.0
7068,H15067,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,0,3,1960,   ,,0.0
4810,H15071,2016,0.99726776,0,Painted,Not Fenced,Has garden,urban area,883,1,1980,   ,74224,0.0
2895,H15072,2014,1.0,1,Not Painted,Fenced,no garden,rural area,1100,2,2009,3,38394,0.0
7069,H15078,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,0,3,1950,   ,,0.0
5734,H15079,2014,1.0,0,Painted,Not Fenced,Has garden,urban area,1000,2,1980,   ,83098,0.0
1088,H1508,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1566,2,1950,7,13204,0.0
5249,H15082,2013,1.0,1,Not Painted,Fenced,no garden,rural area,978,4,1920,5,75119,0.0
5250,H15083,2016,0.99726776,1,Not Painted,Fenced,no garden,rural area,978,4,1920,5,75119,1.0
6301,H15085,2012,1.0,1,Painted,Not Fenced,Has garden,urban area,1100,3,1960,   ,92012,0.0
3923,H15086,2013,1.0,0,Painted,Not Fenced,Has garden,urban area,585,1,0,   ,63178,0.0
635,H15087,2015,1.0,0,Painted,Not Fenced,Has garden,urban area,400,1,0,   ,10387,0.0
5725,H15088,2013,1.0,0,Not Painted,Fenced,no garden,rural area,210,2,1920,3,83087,0.0
1089,H1509,2014,0.747945205,0,Not Painted,Fenced,no garden,rural area,2400,2,1960,5,13204,0.0
2965,H15090,2016,1.0,1,Not Painted,Fenced,no garden,rural area,510,2,1988,3,38565,0.0
3649,H15093,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,11768,2,1991,4,60172,1.0
6503,H15094,2013,0.0,1,Not Painted,Fenced,no garden,rural area,2340,3,1970,7,92051,1.0
253,H15095,2015,0.084931507,0,Not Painted,Fenced,no garden,rural area,2000,4,1972,6,6083,0.0
5304,H15096,2015,1.0,0,Not Painted,Fenced,no garden,rural area,1580,2,1970,4,76259,0.0
5305,H15097,2016,0.967213115,0,Not Painted,Fenced,no garden,rural area,1580,2,1970,4,76259,1.0
4843,H15099,2012,1.0,1,Painted,Not Fenced,Has garden,urban area,2200,1,1988,   ,74258,0.0
1770,H1510,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,938,2,1960,   ,21231,0.0
4844,H15100,2013,0.747945205,1,Painted,Not Fenced,Has garden,urban area,2200,1,1988,   ,74258,0.0
4701,H15102,2014,1.0,1,Painted,Not Fenced,Has garden,urban area,1800,1,1988,   ,74042,0.0
4702,H15103,2015,1.0,1,Painted,Not Fenced,Has garden,urban area,1800,1,1988,   ,74042,0.0
2150,H15104,2012,1.0,0,Not Painted,Fenced,no garden,rural area,600,2,1960,2,31555,1.0
4312,H15106,2012,0.109289617,1,Painted,Not Fenced,Has garden,urban area,630,3,1980,   ,67482,0.0
569,H15109,2012,1.0,0,Not Painted,Fenced,no garden,rural area,2646,4,1970,3,6159,1.0
1771,H1511,2012,1.0,0,Not Painted,Fenced,no garden,rural area,900,2,1981,4,21231,0.0
2922,H15110,2013,0.164383562,0,Not Painted,Fenced,no garden,rural area,470,2,1996,2,38507,0.0
6037,H15111,2016,0.99726776,0,Painted,Not Fenced,Has garden,urban area,650,1,1960,   ,88075,0.0
4197,H15112,2012,1.0,1,Not Painted,Fenced,no garden,rural area,650,2,2008,3,66072,0.0
4198,H15113,2014,1.0,1,Not Painted,Fenced,no garden,rural area,650,2,2008,3,66072,0.0
1047,H15114,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1341,2,1960,3,13203,0.0
7070,H15115,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,0,2,2008,   ,,0.0
1772,H1512,2014,1.0,0,Not Painted,Fenced,no garden,rural area,900,2,1981,4,21231,0.0
3615,H15120,2014,1.0,0,Painted,Not Fenced,Has garden,urban area,800,2,1988,   ,59482,1.0
168,H15123,2015,1.0,0,Not Painted,Fenced,no garden,rural area,650,4,1960,3,6029,1.0
3478,H15124,2016,1.0,0,Painted,Not Fenced,Has garden,urban area,726,2,1960,   ,57463,0.0
4634,H15129,2016,1.0,0,Not Painted,Fenced,no garden,rural area,3826,1,2009,5,73303,0.0
1773,H1513,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,900,2,1981,4,21231,0.0
6709,H15135,2016,1.0,1,Not Painted,Fenced,no garden,rural area,880,3,1965,4,94004,1.0
3604,H15137,2012,1.0,0,Painted,Not Fenced,Has garden,urban area,660,3,1960,   ,59368,0.0
3605,H15138,2013,1.0,0,Painted,Not Fenced,Has garden,urban area,660,3,1960,   ,59368,0.0
3606,H15141,2012,1.0,0,Not Painted,Fenced,no garden,rural area,450,3,1930,4,59368,0.0
3560,H15144,2016,0.99726776,0,Painted,Not Fenced,Has garden,urban area,1200,2,1988,   ,59279,1.0
6195,H15145,2016,1.0,1,Not Painted,Fenced,no garden,rural area,1250,1,1950,6,91421,0.0
1693,H15146,2014,1.0,0,Not Painted,Fenced,no garden,rural area,975,1,1999,4,19031,0.0
3646,H15148,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,11389,2,1979,10,60159,1.0
3985,H1515,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,280,2,0,   ,64122,0.0
1629,H15152,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1400,1,2009,5,16015,1.0
3952,H15153,2012,1.0,0,Not Painted,Fenced,no garden,rural area,5600,2,2008,4,64102,1.0
3609,H15156,2015,1.0,0,Painted,Not Fenced,Has garden,urban area,3200,3,1980,   ,59410,1.0
6332,H15157,2012,1.0,1,Painted,Not Fenced,Has garden,urban area,285,3,1960,   ,92014,1.0
6333,H15158,2016,1.0,1,Painted,Not Fenced,Has garden,urban area,285,3,1960,   ,92014,0.0
3651,H15160,2012,1.0,0,Not Painted,Fenced,no garden,rural area,2755,2,2009,3,60346,0.0
6838,H15161,2012,1.0,1,Not Painted,Fenced,no garden,rural area,1500,3,1960,6,94068,0.0
3759,H15166,2013,1.0,0,Not Painted,Not Fenced,no garden,rural area,1500,2,1975,10,62826,1.0
1371,H15168,2012,1.0,0,Not Painted,Fenced,no garden,rural area,3283,2,1980,5,13208,0.0
2268,H15169,2015,1.0,0,Painted,Not Fenced,Has garden,urban area,540,3,1960,   ,33063,0.0
4637,H1517,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,3858,1,0,   ,73304,0.0
2269,H15170,2016,1.0,0,Painted,Not Fenced,Has garden,urban area,540,3,1960,   ,33063,0.0
1851,H15173,2015,1.0,0,Painted,Not Fenced,Has garden,urban area,600,2,1960,   ,24037,0.0
5971,H15176,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,4430,1,1975,5,86137,0.0
4285,H15184,2013,1.0,1,Not Painted,Fenced,no garden,rural area,1750,2,2008,2,67180,0.0
3760,H15185,2014,1.0,0,Not Painted,Fenced,no garden,rural area,820,2,1950,4,62826,0.0
6234,H15187,2014,1.0,1,Not Painted,Fenced,no garden,rural area,484,3,1900,4,92004,0.0
6285,H15191,2013,1.0,1,Not Painted,Fenced,no garden,rural area,780,3,1950,1,92007,0.0
6210,H15192,2012,1.0,1,Not Painted,Fenced,no garden,rural area,915,1,2009,4,91649,0.0
224,H15194,2012,1.0,0,Not Painted,Fenced,no garden,rural area,3269,4,1975,4,6070,0.0
225,H15195,2014,1.0,0,Not Painted,Fenced,no garden,rural area,3269,4,1975,4,6070,1.0
226,H15196,2015,1.0,0,Not Painted,Fenced,no garden,rural area,3269,4,1975,4,6070,0.0
373,H15198,2012,1.0,1,Not Painted,Fenced,no garden,rural area,2205,4,1990,7,6088,1.0
956,H15199,2013,0.161643836,0,Not Painted,Fenced,no garden,rural area,350,2,1960,3,13201,0.0
1774,H1520,2015,1.0,0,Painted,Not Fenced,Has garden,urban area,881,2,1960,   ,21231,0.0
4501,H15201,2012,1.0,1,Not Painted,Fenced,no garden,rural area,12473,2,1959,10,69266,0.0
7071,H15202,2014,0.0,1,Not Painted,Not Fenced,Has garden,urban area,0,1,1987,   ,,0.0
957,H15206,2015,1.0,0,Not Painted,Fenced,no garden,rural area,615,2,1970,5,13201,1.0
2270,H15208,2012,1.0,0,Not Painted,Fenced,no garden,rural area,700,3,1850,4,33063,1.0
7072,H15209,2015,1.0,0,Not Painted,Not Fenced,Has garden,urban area,0,1,2008,   ,,0.0
374,H15211,2014,0.161643836,1,Not Painted,Fenced,no garden,rural area,1000,4,1900,3,6088,0.0
6519,H15212,2013,1.0,0,Not Painted,Fenced,no garden,rural area,11760,3,1987,3,92063,1.0
6520,H15213,2016,0.99726776,0,Not Painted,Fenced,no garden,rural area,11760,3,1987,3,92063,0.0
1652,H15217,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1546,1,2008,2,17028,0.0
217,H15219,2014,1.0,0,Not Painted,Fenced,no garden,rural area,6300,4,1977,5,6069,1.0
2609,H1522,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,1800,2,1980,   ,34902,0.0
3479,H15221,2015,1.0,0,Not Painted,Fenced,no garden,rural area,3800,2,2004,3,57463,0.0
6947,H15222,2016,0.99726776,1,Not Painted,Fenced,no garden,rural area,794,2,1900,2,95219,0.0
6363,H15229,2015,1.0,0,Not Painted,Fenced,no garden,rural area,2000,3,2008,8,92025,0.0
2610,H1523,2012,1.0,0,Not Painted,Not Fenced,Has garden,urban area,4122,2,1980,   ,34902,1.0
6839,H15230,2013,1.0,1,Not Painted,Fenced,no garden,rural area,2040,3,1965,5,94068,0.0
6840,H15231,2013,1.0,1,Not Painted,Fenced,no garden,rural area,1200,3,1960,5,94068,1.0
6841,H15232,2015,1.0,1,Not Painted,Fenced,no garden,rural area,1200,3,1960,5,94068,0.0
6842,H15233,2014,1.0,1,Not Painted,Fenced,no garden,rural area,1200,3,1960,4,94068,0.0
3703,H15234,2013,1.0,0,Not Painted,Fenced,no garden,rural area,380,2,2008,3,62193,0.0
4673,H15235,2015,1.0,1,Not Painted,Fenced,no garden,rural area,3245,1,2008,7,74012,0.0
5030,H15237,2012,1.0,1,Not Painted,Fenced,no garden,rural area,1200,4,1950,6,75114,1.0
4851,H15245,2012,1.0,1,Not Painted,Fenced,no garden,rural area,5600,1,2008,6,74276,0.0
958,H15247,2016,1.0,0,Not Painted,Fenced,no garden,rural area,1200,2,1900,6,13201,0.0
6808,H15250,2014,1.0,1,Not Painted,Fenced,no garden,rural area,1000,3,1911,6,94067,1.0
1888,H15251,2012,0.915300546,0,Not Painted,Fenced,no garden,rural area,288,2,1900,2,26198,0.0
1889,H15252,2014,1.0,0,Not Painted,Fenced,no garden,rural area,288,2,1900,2,26198,0.0
2994,H15259,2012,1.0,0,Not Painted,Fenced,no garden,rural area,400,2,2007,2,40046,0.0
5805,H1526,2012,1.0,1,Painted,Not Fenced,Has garden,urban area,1790,2,1960,   ,83126,0.0
5799,H15260,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1382,2,2008,6,83123,1.0
4987,H15262,2012,1.0,1,Not Painted,Fenced,no garden,rural area,3850,4,1973,9,75112,1.0
4988,H15263,2014,1.0,1,Not Painted,Fenced,no garden,rural area,3850,4,1973,9,75112,1.0
4989,H15264,2015,0.983561644,1,Not Painted,Fenced,no garden,rural area,3850,4,1973,9,75112,1.0
5604,H15266,2015,1.0,0,Not Painted,Fenced,no garden,rural area,450,2,1977,4,83009,1.0
7001,H15268,2015,1.0,0,Not Painted,Fenced,no garden,rural area,2000,3,2009,1,2A004,0.0
2151,H15269,2012,1.0,0,Not Painted,Fenced,no garden,rural area,4000,2,1985,3,31555,1.0
5806,H1527,2013,1.0,1,Painted,Not Fenced,Has garden,urban area,1450,2,1960,   ,83126,0.0
5605,H15270,2013,1.0,1,Not Painted,Fenced,no garden,rural area,1400,2,2008,5,83009,0.0
5606,H15271,2015,1.0,1,Not Painted,Fenced,no garden,rural area,1400,2,2008,5,83009,0.0
2505,H15272,2013,1.0,0,Not Painted,Fenced,no garden,rural area,450,2,1930,3,34172,0.0
1648,H15274,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1348,1,2007,2,16292,0.0
5548,H15277,2012,1.0,0,Not Painted,Fenced,no garden,rural area,250,2,1950,2,78640,0.0
5549,H15278,2013,0.043835616,0,Not Painted,Fenced,no garden,rural area,250,2,1950,2,78640,0.0
5807,H1528,2014,1.0,1,Painted,Not Fenced,Has garden,urban area,1450,2,1960,   ,83126,1.0
5121,H15281,2015,0.323287671,1,Not Painted,Fenced,no garden,rural area,3564,4,1953,10,75116,0.0
5006,H15282,2012,1.0,1,Not Painted,Fenced,no garden,rural area,964,4,1900,4,75113,0.0
5007,H15283,2013,1.0,1,Not Painted,Fenced,no garden,rural area,964,4,1900,4,75113,0.0
5008,H15284,2014,1.0,1,Not Painted,Fenced,no garden,rural area,964,4,1900,4,75113,0.0
6913,H15287,2014,0.246575342,0,Not Painted,Fenced,no garden,rural area,3220,2,2005,4,95018,1.0
882,H15288,2014,1.0,0,Not Painted,Fenced,no garden,rural area,170,1,1950,2,13071,1.0
1656,H15289,2013,1.0,0,Not Painted,Fenced,no garden,rural area,2000,1,2009,4,17274,0.0
2611,H1529,2016,0.24863388,0,Not Painted,Not Fenced,Has garden,urban area,1300,2,1980,   ,34902,0.0
4811,H15293,2012,1.0,0,Not Painted,Fenced,no garden,rural area,3300,1,2001,3,74224,1.0
4812,H15294,2014,1.0,0,Not Painted,Fenced,no garden,rural area,3300,1,2001,3,74224,0.0
4813,H15295,2015,1.0,0,Not Painted,Fenced,no garden,rural area,3300,1,2001,3,74224,1.0
4814,H15296,2016,1.0,0,Not Painted,Fenced,no garden,rural area,3300,1,2001,3,74224,1.0
1372,H15297,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1200,2,1920,4,13208,1.0
3718,H1530,2013,1.0,0,Not Painted,Fenced,no garden,rural area,3147,2,1960,5,62201,0.0
3573,H15302,2014,1.0,1,Not Painted,Fenced,no garden,rural area,4144,3,1992,5,59350,0.0
3255,H15305,2012,0.084699454,0,Not Painted,Fenced,no garden,rural area,383,1,1959,2,46102,0.0
5122,H15306,2013,0.0,1,Not Painted,Fenced,no garden,rural area,2330,4,1970,7,75116,0.0
3719,H1531,2015,1.0,0,Not Painted,Fenced,no garden,rural area,3147,2,1960,5,62201,0.0
3306,H15311,2015,0.657534247,0,Not Painted,Fenced,no garden,rural area,370,2,1960,2,51454,0.0
2868,H15312,2012,1.0,0,Not Painted,Fenced,no garden,rural area,960,2,1999,2,38239,0.0
1141,H15313,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1040,2,1960,5,13205,0.0
6843,H15315,2013,1.0,1,Not Painted,Fenced,no garden,rural area,2700,3,1965,7,94068,0.0
6844,H15316,2014,1.0,1,Not Painted,Fenced,no garden,rural area,2700,3,1965,7,94068,0.0
6845,H15317,2015,1.0,1,Not Painted,Fenced,no garden,rural area,2700,3,1965,7,94068,0.0
6610,H15319,2015,1.0,1,Not Painted,Fenced,no garden,rural area,2873,3,2005,4,93046,0.0
3720,H1532,2015,1.0,0,Not Painted,Fenced,no garden,rural area,700,2,1988,3,62201,0.0
2658,H15320,2016,1.0,0,Not Painted,Fenced,no garden,rural area,1210,1,2002,3,35288,1.0
7002,H15322,2012,1.0,0,Not Painted,Fenced,no garden,rural area,3300,3,2009,4,2A004,0.0
7003,H15323,2013,1.0,0,Not Painted,Fenced,no garden,rural area,3300,3,2009,4,2A004,0.0
3574,H15324,2012,1.0,0,Not Painted,Fenced,no garden,rural area,850,2,1930,4,59350,0.0
3575,H15325,2013,1.0,0,Not Painted,Fenced,no garden,rural area,850,2,1930,4,59350,0.0
3576,H15326,2014,0.17260274,0,Not Painted,Fenced,no garden,rural area,850,2,1930,4,59350,0.0
4726,H1533,2012,1.0,1,Not Painted,Fenced,no garden,rural area,2073,1,1990,4,74058,0.0
1224,H15333,2013,1.0,1,Not Painted,Fenced,no garden,rural area,1320,2,1930,6,13206,0.0
1225,H15334,2016,1.0,1,Not Painted,Fenced,no garden,rural area,1320,2,1930,6,13206,0.0
1090,H15335,2015,0.038356164,1,Not Painted,Fenced,no garden,rural area,1950,2,1957,5,13204,0.0
6578,H15336,2012,1.0,1,Not Painted,Fenced,no garden,rural area,2300,3,2008,3,93015,0.0
1373,H15337,2016,1.0,0,Not Painted,Fenced,no garden,rural area,4100,2,1970,10,13208,0.0
4727,H1534,2014,1.0,1,Not Painted,Fenced,no garden,rural area,2073,1,1990,4,74058,0.0
2554,H15341,2013,1.0,0,Not Painted,Fenced,no garden,rural area,677,2,2009,3,34192,0.0
5368,H15345,2013,0.246575342,1,Not Painted,Fenced,no garden,rural area,6017,2,2008,5,77122,0.0
1091,H15346,2012,1.0,1,Not Painted,Fenced,no garden,rural area,3500,2,1957,4,13204,1.0
194,H15347,2012,1.0,0,Not Painted,Fenced,no garden,rural area,3700,4,1985,7,6032,1.0
195,H15348,2015,1.0,0,Not Painted,Fenced,no garden,rural area,3700,4,1985,7,6032,1.0
4746,H15349,2012,1.0,0,Not Painted,Fenced,no garden,rural area,5900,1,2004,3,74094,1.0
4686,H15351,2013,1.0,1,Not Painted,Fenced,no garden,rural area,2658,1,2006,5,74014,0.0
4687,H15352,2016,0.99726776,1,Not Painted,Fenced,no garden,rural area,2658,1,2006,5,74014,0.0
1374,H15355,2015,1.0,0,Not Painted,Fenced,no garden,rural area,380,2,1960,4,13208,0.0
6846,H15356,2013,1.0,1,Not Painted,Fenced,no garden,rural area,1121,3,1950,5,94068,0.0
6847,H15357,2015,1.0,1,Not Painted,Fenced,no garden,rural area,1121,3,1950,5,94068,1.0
3736,H15359,2012,1.0,0,Not Painted,Fenced,no garden,rural area,499,2,2007,3,62261,0.0
6445,H15361,2013,1.0,0,Not Painted,Fenced,no garden,rural area,300,3,1900,2,92040,0.0
6446,H15363,2015,1.0,0,Not Painted,Fenced,no garden,rural area,300,3,1900,2,92040,0.0
7073,H15365,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,0,2,1960,   ,,0.0
7074,H15366,2013,0.747945205,1,Not Painted,Not Fenced,Has garden,urban area,0,2,1960,   ,,0.0
715,H15367,2013,1.0,0,Not Painted,Fenced,no garden,rural area,710,1,1950,5,12300,0.0
3509,H15368,2014,1.0,0,Not Painted,Fenced,no garden,rural area,800,2,1965,3,57663,0.0
6887,H15370,2014,1.0,1,Not Painted,Fenced,no garden,rural area,175,3,1950,1,94080,0.0
636,H15371,2013,1.0,0,Not Painted,Fenced,no garden,rural area,906,1,1850,3,10387,1.0
5841,H15375,2013,0.290410959,1,Not Painted,Fenced,no garden,rural area,3004,3,1975,9,83137,0.0
6731,H15376,2012,1.0,0,Not Painted,Fenced,no garden,rural area,295,3,1965,2,94022,0.0
681,H15377,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1500,2,2008,4,11266,0.0
5637,H15378,2012,1.0,0,Not Painted,Fenced,no garden,rural area,5625,2,2008,4,83036,0.0
5638,H15379,2014,1.0,0,Not Painted,Fenced,no garden,rural area,5625,2,2008,4,83036,0.0
6928,H15380,2012,1.0,0,Not Painted,Fenced,no garden,rural area,716,2,1950,3,95127,0.0
6929,H15381,2014,0.169863014,0,Not Painted,Fenced,no garden,rural area,716,2,1950,3,95127,0.0
4108,H15382,2016,1.0,0,Not Painted,Fenced,no garden,rural area,336,3,1700,3,64483,0.0
5350,H15384,2012,1.0,1,Not Painted,Fenced,no garden,rural area,15026,2,1950,10,76681,0.0
5351,H15385,2013,1.0,1,Not Painted,Fenced,no garden,rural area,15026,2,1950,10,76681,1.0
496,H15386,2015,1.0,0,Not Painted,Fenced,no garden,rural area,700,4,1970,3,6104,0.0
497,H15387,2014,1.0,0,Not Painted,Fenced,no garden,rural area,450,4,1960,4,6104,0.0
498,H15388,2015,1.0,0,Not Painted,Fenced,no garden,rural area,450,4,1960,4,6104,0.0
5212,H15389,2013,0.136986301,1,Not Painted,Fenced,no garden,rural area,1700,4,1959,7,75118,1.0
3644,H15390,2013,1.0,0,Not Painted,Fenced,no garden,rural area,720,2,1945,5,60141,1.0
5306,H15392,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1680,2,2008,3,76259,0.0
3085,H15393,2015,1.0,0,Not Painted,Fenced,no garden,rural area,810,2,1900,4,42218,0.0
2152,H15398,2014,1.0,1,Not Painted,Fenced,no garden,rural area,2918,2,2008,4,31555,0.0
6396,H15399,2012,1.0,1,Not Painted,Fenced,no garden,rural area,6410,3,1956,8,92026,1.0
1415,H15401,2013,1.0,0,Not Painted,Fenced,no garden,rural area,7259,2,2009,8,13209,0.0
1416,H15402,2014,1.0,0,Not Painted,Fenced,no garden,rural area,7259,2,2009,8,13209,1.0
716,H15403,2014,1.0,0,Not Painted,Fenced,no garden,rural area,400,1,1920,3,12300,0.0
717,H15404,2015,1.0,0,Not Painted,Fenced,no garden,rural area,400,1,1920,3,12300,0.0
2659,H15405,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1300,1,2009,3,35288,1.0
4181,H15406,2015,1.0,1,Not Painted,Fenced,no garden,rural area,3200,2,1982,4,66020,0.0
1722,H15408,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1567,1,1890,3,21054,0.0
2434,H15409,2014,0.246575342,0,Not Painted,Fenced,no garden,rural area,2568,2,1960,6,34032,0.0
534,H15410,2015,1.0,0,Not Painted,Fenced,no garden,rural area,4800,4,2006,4,6123,0.0
904,H15411,2013,1.0,1,Not Painted,Fenced,no garden,rural area,2556,1,1974,3,13097,0.0
5945,H15412,2012,1.0,0,Not Painted,Fenced,no garden,rural area,450,1,1960,1,84129,0.0
1092,H15413,2013,1.0,1,Not Painted,Fenced,no garden,rural area,200,2,1930,4,13204,0.0
2791,H15416,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1612,2,2009,3,38179,0.0
3761,H15417,2013,1.0,0,Not Painted,Fenced,no garden,rural area,4400,2,1990,7,62826,0.0
2694,H1542,2012,1.0,1,Painted,Not Fenced,Has garden,urban area,2815,1,1980,   ,36006,0.0
7075,H15420,2012,1.0,1,Not Painted,Not Fenced,Has garden,urban area,0,2,1996,   ,,1.0
6745,H15422,2013,1.0,1,Not Painted,Fenced,no garden,rural area,830,3,1980,6,94037,0.0
6746,H15423,2013,0.495890411,1,Not Painted,Fenced,no garden,rural area,1400,3,1950,5,94037,1.0
5031,H15428,2012,1.0,1,Not Painted,Fenced,no garden,rural area,1065,4,1900,8,75114,1.0
5962,H15429,2015,0.997260274,0,Not Painted,Fenced,no garden,rural area,1556,1,1994,4,86041,0.0
5963,H15430,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1902,1,1996,4,86041,1.0
5964,H15431,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1902,1,1996,4,86041,0.0
5965,H15432,2016,0.994535519,0,Not Painted,Fenced,no garden,rural area,1902,1,1996,4,86041,0.0
5975,H15433,2015,1.0,0,Not Painted,Fenced,no garden,rural area,1100,1,1990,4,86194,1.0
375,H15435,2013,1.0,1,Not Painted,Fenced,no garden,rural area,2110,4,2004,7,6088,0.0
376,H15436,2014,1.0,1,Not Painted,Fenced,no garden,rural area,2110,4,2004,7,6088,0.0
377,H15437,2015,1.0,1,Not Painted,Fenced,no garden,rural area,2110,4,2004,7,6088,1.0
378,H15438,2013,1.0,1,Not Painted,Fenced,no garden,rural area,1630,4,1970,5,6088,0.0
2695,H1544,2012,1.0,1,Painted,Not Fenced,Has garden,urban area,1230,1,1980,   ,36006,0.0
5268,H15441,2012,1.0,1,Not Painted,Fenced,no garden,rural area,7160,4,2006,6,75120,1.0
4256,H15444,2012,1.0,0,Not Painted,Fenced,no garden,rural area,1150,2,1960,4,66164,0.0
4257,H15445,2016,1.0,0,Not Painted,Fenced,no garden,rural area,1150,2,1960,4,66164,0.0
4222,H15446,2015,1.0,0,Not Painted,Fenced,no garden,rural area,840,2,1950,3,66136,1.0
2698,H1545,2013,1.0,1,Painted,Not Fenced,Has garden,urban area,1100,1,1980,   ,36044,0.0
3721,H15450,2015,1.0,0,Not Painted,Fenced,no garden,rural area,2100,2,2009,4,62201,0.0
379,H15453,2013,1.0,1,Not Painted,Fenced,no garden,rural area,1628,4,1954,5,6088,1.0
499,H15457,2012,1.0,0,Not Painted,Fenced,no garden,rural area,2976,4,1930,4,6104,0.0
7076,H15459,2013,0.583561644,0,Not Painted,Not Fenced,Has garden,urban area,0,1,1900,   ,,0.0
2699,H1546,2012,1.0,1,Painted,Not Fenced,Has garden,urban area,1100,1,1980,   ,36044,0.0
1873,H15460,2012,1.0,1,Not Painted,Fenced,no garden,rural area,1347,2,2009,2,26058,0.0
4150,H15464,2014,1.0,0,Not Painted,Fenced,no garden,rural area,600,2,2005,4,64545,0.0
2486,H15467,2012,1.0,0,Not Painted,Fenced,no garden,rural area,800,2,2009,3,34113,0.0
2487,H15468,2013,1.0,0,Not Painted,Fenced,no garden,rural area,800,2,2009,3,34113,0.0
2700,H1547,2016,0.99726776,1,Painted,Not Fenced,Has garden,urban area,1100,1,1980,   ,36044,0.0
5123,H15472,2012,1.0,1,Not Painted,Fenced,no garden,rural area,1460,4,1900,6,75116,1.0
4617,H15474,2013,1.0,0,Not Painted,Fenced,no garden,rural area,5331,1,2001,8,73179,1.0
4618,H15475,2014,1.0,0,Not Painted,Fenced,no garden,rural area,5331,1,2001,8,73179,0.0
5555,H15476,2012,1.0,0,Not Painted,Fenced,no garden,rural area,600,2,1900,4,78646,0.0
6038,H15477,2012,1.0,0,Not Painted,Fenced,no garden,rural area,650,1,1950,2,88075,0.0
1694,H15478,2015,1.0,0,Not Painted,Fenced,no garden,rural area,1365,1,1980,4,19031,0.0
1695,H15479,2016,1.0,0,Not Painted,Fenced,no garden,rural area,1365,1,1980,4,19031,0.0
2701,H1548,2015,1.0,1,Painted,Not Fenced,Has garden,urban area,430,1,1980,   ,36044,0.0
3196,H15481,2016,0.967213115,1,Not Painted,Fenced,no garden,rural area,2084,1,2008,4,44109,1.0
1503,H15483,2012,1.0,1,Not Painted,Fenced,no garden,rural area,8960,2,2009,3,13215,0.0
1504,H15484,2013,0.536986301,1,Not Painted,Fenced,no garden,rural area,8960,2,2009,3,13215,0.0
7077,H15488,2014,1.0,1,Not Painted,Not Fenced,Has garden,urban area,0,2,2007,   ,,0.0
2271,H15489,2013,1.0,0,Not Painted,Fenced,no garden,rural area,510,3,1898,4,33063,0.0
2702,H1549,2012,1.0,1,Painted,Not Fenced,Has garden,urban area,930,1,1980,   ,36044,0.0
5976,H15491,2014,1.0,0,Not Painted,Fenced,no garden,rural area,910,1,2009,4,86194,0.0
4065,H15492,2013,1.0,0,Not Painted,Fenced,no garden,rural area,1129,3,1988,6,64445,0.0
3577,H15493,2012,1.0,0,Not Painted,Fenced,no garden,rural area,2578,3,1900,5,59350,0.0
1093,H15499,2014,1.0,0,Not Painted,Fenced,no garden,rural area,1050,2,1864,6,13204,1.0
2703,H1550,2012,1.0,1,Painted,Not Fenced,Has garden,urban area,1390,1,1980,   ,36044,0.0
2108,H15500,2012,1.0,1,Not Painted,Fenced,no garden,rural area,320,2,2009,2,30344,0.0
2153,H15503,2016,0.99726776,1,Not Painted,Fenced,no garden,rural area,1340,2,1800,5,31555,1.0
203,H15504,2013,1.0,1,Not Painted,Fenced,no garden,rural area,4000,4,1980,4,6033,1.0
